id	age	employees	totalassets	sales	addedvalue	ebit	roa	roi	ros	roe	leverage
8225	69	100	70285	44530	18132	5465	.10283844	.077754855	.12272625	.20146611	1.9590546
8350	8	14	952	1894	560	-7	-.0084033618	-.0073529412	-.0036958817	-.027972028	3.3286712
7234	15	30	5344	7805	821	198	.013847305	.037050899	.025368353	.14741036	10.645418
8229	32	22	11580	14475	1883	931	.079447322	.080397233	.064317793	.10764011	1.3548614
8344	48	32	9012	14469	2137	315	.014869063	.034953397	.021770682	.22112212	14.871287
7682	35	30	1676	2638	1052	98	.039976135	.058472555	.037149355	16.75	419
7451	39	22	3903	3714	608	-134	-.036638483	-.034332566	-.036079697	-.13606089	3.7136061
7186	39	80	18420	22298	5204	1328	.039467968	.072095551	.059556913	.13932541	3.5300882
7509	21	22	3083	4284	983	95	.022380797	.030814143	.022175537	.1	4.4681158
7184	31	27	3247	3316	878	108	-.0070834616	.03326147	.03256936	-.38333333	54.116665
8211	30	30	15919	19380	4179	1169	.070670269	.073434263	.060319919	.099778272	1.4118847
7731	109	54	21988	22787	2777	389	.0038657449	.017691469	.017071137	.039406583	10.193788
8335	55	12	2003	1244	554	48	.01347978	.023964053	.038585208	.14438502	10.71123
7448	86	29	11658	7571	1245	-156	-.021444501	-.013381369	-.02060494	-.068008706	3.171382
8264	36	10	4239	2508	475	70	.020759612	.016513329	.027910685	.030323915	1.4607167
7691	30	39	3199	5486	1997	223	.059393559	.069709286	.040648926	.25265959	4.2539892
7160	53	14	1425	1439	478	-12	-.039298244	-.0084210522	-.0083391247	-.18983051	4.8305087
9636	57	34	11241	7237	5613	3753	.33493462	.3338671	.51858503	.41884527	1.2505285
8410	18	40	6427	9400	2528	901	.13209896	.14018983	.095851064	.25758496	1.9499394
8364	5	32	7433	10505	1522	278	.01479887	.037400782	.026463589	.12910798	8.7241783
7252	9	19	1504	2703	782	232	.14029256	.15425532	.085830562	.81782943	5.8294573
8394	32	32	4686	3363	998	23	-.025181392	.0049082371	.0068391319	-1.2967033	51.494507
7432	42	15	3641	6387	787	128	.031859379	.035155177	.020040708	.3421829	10.740413
7248	23	147	14527	23357	3648	-195	-.030632615	-.013423281	-.0083486745	-.16875237	5.5089116
8212	29	45	4210	7054	2809	689	.13539192	.16365796	.097675078	.55125725	4.0715666
7718	14	19	2263	3934	887	45	.013256739	.019885108	.011438739	.17142858	12.931429
7167	49	15	4368	4804	815	106	.013965202	.0242674	.022064947	.028266914	2.0240965
7738	36	154	33923	33280	7356	980	.0087256432	.028888954	.029447116	.021527274	2.4671273
7190	29	150	100680	94906	12644	3482	.033373062	.034584824	.036688935	.086976781	2.6061971
8252	24	37	7444	8893	2250	398	.020284792	.053465877	.0447543	.11021898	5.4335766
7715	47	12	1620	3123	802	115	.04074074	.070987657	.036823567	.56896549	13.965517
8154	53	45	4839	6754	1754	414	.089894608	.085554868	.061297011	.25246662	2.8084736
9642	37	271	131305	193608	38681	4812	.024523057	.036647499	.024854345	.038023263	1.5505108
8277	22	15	2322	3014	788	55	.029285099	.023686478	.018248174	.043506078	1.4856046
9678	36	45	15641	16485	2900	608	.010037721	.038872194	.036882013	.043298401	4.3135686
